Title,Category,Year,Director,Rating,Edited,LentTo,Notes
"Matador, The",Comedy,2005,Richard Shepard,R,Yes,,Plex
Matilda,Family,1996,Danny DeVito,PG,,,Plex
"Matrix, The",Action/Adventure,1999,The Wachowski Brothers,R,,,Plex
Maverick,Comedy,1994,Richard Donner,PG,,,Plex
Memento,Drama,2001,Christopher Nolan,R,Yes,,Plex
Men in Black,Comedy,1997,Barry Sonnenfeld,PG-13,,,Plex
Metropolis,Drama,1927,Fritz Lang,UR,,,Blu-ray
"Mighty Wind, A",Comedy,2003,Christopher Guest,PG-13,,,Plex
Millions,Drama,2004,Danny Boyle,PG-13,,,Plex
Mission: Impossible,Action/Adventure,1996,Brian De Palma,PG-13,,,Plex
Mission: Impossible II,Action/Adventure,2000,John Woo,PG-13,,,Plex
Mission: Impossible III,Action/Adventure,2006,J.J. Abrams ,PG-13,,,Plex
Moana,Family,2016,"Ron Clements, John Musker",PG,,,Plex
Monkey Business,Comedy,1931,Norman Z. McLeod,G,,,Blu-ray
Monster House,Family,2006,Gil Kenan,PG,,,Plex
"Monster Squad, The",Horror/Suspense,1987,Fred Dekker,PG-13,,,Plex
"Monsters, Inc.",Family,2001,"Pete Docter, Lee Unkrich, David Silverman",G,,,Plex
Monty Python and the Holy Grail,Comedy,1975,"Terry Gilliam, Terry Jones",PG,,,Plex
"Mothman Prophecies, The",Horror/Suspense,2002,Mark Pellington,PG-13,,,Plex
Moulin Rouge!,Drama,2001,Baz Luhrmann,PG-13,,,Plex
Mr. & Mrs. Smith,Action/Adventure,2005,Doug Liman,PG-13,,,Plex
Mr. Krueger’s Christmas,Family,1980,Kieth Merrill,NR,,,Plex
Mr. Popper's Penguins,Family,2011,Mark Waters,PG,,,Plex
Mrs. Doubtfire,Comedy,1993,Chris Columbus,PG-13,,,Plex
"Mummy, The",Horror/Suspense,1932,Karl Freund,NR,,,Plex
"Muppet Movie, The",Family,1979,James Frawley,G,,,Plex
"Muppets, The",Family,2011,James Bobin,PG,,,Plex
My Big Fat Greek Wedding,Comedy,2002,Joel Zwick,PG,,,Plex
My Little Pony: Equestria Girls,Family,2013,Jayson Thiessen,G,,,Plex
Mystery Men,Comedy,1999,Kinka Usher,PG-13,,,Plex
"Mystery Science Theater 3000 Collection, Volume 1, The",Television,2002,Joel Hodgson,TV-14,,,Plex
"Mystery Science Theater 3000 Collection, Volume 2, The",Television,2003,Joel Hodgson,TV-14,,,Plex
"Mystery Science Theater 3000 Collection, Volume 4, The",Television,2003,Joel Hodgson,TV-14,,,Plex
"Mystery Science Theater 3000 Collection, Volume 5, The",Television,2004,Joel Hodgson,TV-14,,,Plex
"Mystery Science Theater 3000 Collection, Volume 8, The",Television,2005,Joel Hodgson,TV-14,,,Plex
Mystery Science Theater 3000: 20th Anniversary Edition,Television,2008,Joel Hodgson,TV-14,,,Plex
Mystery Science Theater 3000: Eegah!,Television,1993,Joel Hodgson,TV-14,,,Plex
Mystery Science Theater 3000: Escape 2000,Television,1996,Joel Hodgson,TV-14,,,Plex
Mystery Science Theater 3000: Mitchell,Television,1993,Joel Hodgson,TV-14,,,Plex
Mystery Science Theater 3000: Samson vs. Vampire Women,Television,1995,Joel Hodgson,TV-14,,,Plex
Mystery Science Theater 3000: The Essentials,Television,2004,Joel Hodgson,TV-14,,,Plex
Mystery Science Theater 3000: The Movie,Comedy,1996,Jim Mallon,PG-13,,,Plex
Mystery Science Theater 3000: Wild World of Batwoman,Television,1993,Joel Hodgson,TV-14,,,Plex
"Naked Gun 2½: The Smell of Fear, The",Comedy,1991,David Zucker,PG-13,,,Plex
"Naked Gun: From the Files of Police Squad!, The",Comedy,1988,David Zucker,PG-13,,,Plex
Napoleon Dynamite,Comedy,2004,Jared Hess,PG,,,Plex
National Lampoon’s Loaded Weapon 1,Comedy,1993,Gene Quintano,PG-13,,,Plex
"NeverEnding Story, The",Family,1984,Wolfgang Petersen,PG,,,Plex
Newsies,Family,1992,Kenny Ortega,PG,,,Plex
Night of the Living Dead,Horror/Suspense,1968,George A. Romero,UR,,,Plex
"Nightmare Before Christmas, The",Family,1993,Henry Selick,PG,,,Plex
Nosferatu,Horror/Suspense,1922,F. W. Murnau,UR,,,Plex
Ocean's Eleven,Action/Adventure,2001,Steven Soderbergh,PG-13,,,Plex
Ogden: Junction City of the West,Miscellaneous,2007,Issac Goeckeritz,NR,,,
One Magic Christmas,Family,1985,Phillip Borsos,G,,,Plex
Open Season,Family,2006,"Anthony Stacchi, Roger Allers, Jill Culton",G,,,Plex
Opportunity Knocks,Comedy,1990,Donald Petrie,PG-13,,,Plex
Oscar,Comedy,1991,John Landis,PG,,,Plex
Pet Shop,Miscellaneous,2005,Trent Halvorsen,NR,,,Plex
Peter Pan,Family,1953,"Hamilton Luske, Clyde Geronimi, Wilfred Jackson",G,,,Plex
"Phantom of the Opera, The",Drama,2005,Joel Schumacher,PG-13,,,Plex
"Phantom of the Opera, The",Horror/Suspense,1925,"Lon Chaney, Sr., Edward Sedgwick, Rupert Julian, Ernst Laemmle",UR,,,Plex
Phone Booth,Action/Adventure,2003,Joel Schumacher,R,Yes,,Plex
"Pink Panther and Friends Classic Cartoon Collection, Vol. 5: The Ant and the Aardvark, The",Family,2007,Robert Sledge,G,,,
Pirates of the Caribbean: The Curse of the Black Pearl,Action/Adventure,2003,Gore Verbinski,PG-13,,,Plex
Plan 9 from Outer Space,Horror/Suspense,1959,Ed Wood,UR,,,Plex
"Planes, Trains and Automobiles",Comedy,1987,John Hughes,R,Yes,,Plex
Police Squad! The Complete Series,Television,1982,"Jim Abrahams, David Zucker, Jerry Zucker",TV-PG,,,Plex
Pollyanna,Family,1960,David Swift,G,,,Plex
"Power of One, The",Drama,1992,John G. Avildsen,PG-13,,,Plex
Praise to the Man,Family,2005,"T.C. Christensen, Gary Cook",NR,,,Plex
Predator,Action/Adventure,1987,John McTiernan,R,Yes,,Plex
"Premature Burial, The",Horror/Suspense,1962,Roger Corman,UR,,,Plex
Pride and Prejudice,Drama,2005,Joe Wright,PG,,,Plex
"Princess Bride, The",Family,1986,Rob Reiner,PG,,,Plex
Psycho,Horror/Suspense,1960,Alfred Hitchcock,UR,,,Plex
Pushing Daisies (Season 1),Television,2007,Bryan Fuller,TV-PG,,,Plex
Pushing Daisies (Season 2),Television,2008-2009,Bryan Fuller,TV-PG,,,Plex
"Pyromaniac’s Love Story, A",Comedy,1995,Joshua Brand,PG,,,Plex
Raising Arizona,Comedy,1987,"Joel Coen, Ethan Coen",PG-13,,,Plex
Ratatouille,Family,2007,"Brad Bird, Jan Pinkava",G,,,Plex
Rear Window,Horror/Suspense,1954,Alfred Hitchcock,UR,,,Plex
"Return of Dracula, The",Horror/Suspense,1958,Paul Landres,UR,,,Plex
Rich & Strange,Horror/Suspense,1931,Alfred Hitchcock,UR,,,Plex
"Ring, The",Horror/Suspense,1927,Alfred Hitchcock,UR,,,Plex
"Ring, The",Horror/Suspense,2002,Gore Verbinski,PG-13,,,Plex
Robin Hood: Prince of Thieves,Action/Adventure,1991,Kevin Reynolds,PG-13,,,Amazon Prime
"Rocketeer, The",Action/Adventure,1991,Joe Johnston,PG,,,Plex
Roswell (Season 1),Television,1999-2000,Jonathon Dukes,TV-14,,,Plex
Roswell (Season 2),Television,2000-2001,Jonathon Dukes,TV-14,,,Plex
Roswell (Season 3),Television,2001-2002,Jonathon Dukes,TV-14,,,Plex
"Royal Tenenbaums, The",Comedy,2001,Wes Anderson,R,Yes,,Plex
Sabotage,Horror/Suspense,1936,Alfred Hitchcock,UR,,,Plex
"Sandlot, The",Family,1993,David M. Evans,PG,,,Plex
Saturday Night Live - 25th Anniversary,Television,2004,Lorne Michaels,TV-14,,,Plex
Saturday’s Warrior,Family,1989,Bob Williams,G,,,Plex
Saved By the Bell (Season 5),Television,1992-1993,Sam Bobrick,TV-PG,,,Plex
Saved by the Bell (Seasons 1 & 2),Television,1989-1990,Sam Bobrick,TV-PG,,,Plex
Saved by the Bell (Seasons 3 & 4) ,Television,1990-1992,Sam Bobrick,TV-PG,,,Plex
Saved by the Bell: Hawaiian Style,Television,1992,Don Barnhart,TV-PG,,,Amazon Prime
Saved by the Bell: The College Years,Television,1993-1994,"Miguel Higuera, Jeffrey Melman",TV-PG,,,Amazon Prime
Saved by the Bell: Wedding in Las Vegas,Television,1994,"Don Barnhart, Jeffrey Melman",TV-PG,,,Amazon Prime
Saw,Horror/Suspense,2004,James Wan,R,Yes,,Plex
Say Anything,Comedy,1989,Cameron Crowe,PG-13,,,Plex
School of Rock,Comedy,2003,Richard Linklater,PG-13,,,Plex
"Scooby-Doo! Dynomutt Hour, The",Television,1976,Charles A. Nichols,TV-Y7,,,Plex
Secret Agent,Horror/Suspense,1936,Alfred Hitchcock,UR,,,Plex
Serendipity,Comedy,2001,Peter Chelsom,PG-13,,,Plex
Serenity,Action/Adventure,2005,Joss Whedon,PG-13,,,Plex
Seven Days Seven Workouts,Miscellaneous,2005,N/A,NR,,,
Shaun of the Dead,Horror/Suspense,2004,Edgar Wright,R,Yes,,Plex
"Shawshank Redemption, The",Drama,1994,Frank Darabont,R,Yes,,Plex
She-Wolf of London,Horror/Suspense,1946,Jean Yarbrough,UR,,,Plex
"Shop Around the Corner, The",Family,1940,Ernst Lubitsch,UR,,,Plex
Shrek,Family,2001,"Andrew Adamson, Vicky Jenson",PG,,,Plex
Shrek 2,Family,2004,"Andrew Adamson, Kelly Asbury, Conrad Vernon",PG,,,Plex
Signs,Horror/Suspense,2002,M. Night Shyamalan,PG-13,,,Plex
Silver Linings Playbook,Drama,2012,David O. Russell,R,Yes,,Plex
"Sixth Sense, The",Horror/Suspense,1999,M. Night Shyamalan,PG-13,,,Plex
Sleeping Beauty,Family,1959,Clyde Geronimi,G,,,Plex
Sliding Doors,Drama,1998,Peter Howitt,PG-13,,,Plex
Slumdog Millionaire,Drama,2008,Danny Boyle,R,,,Plex
Snatch,Action/Adventure,2001,Guy Ritchie,R,Yes,,Plex
Sneakers,Action/Adventure,1992,Phil Alden Robinson,PG-13,,,Plex
Snow White and the Seven Dwarfs,Family,1938,"Larry Morey, Wilfred Jackson, Ben Sharpsteen, Perce Pearce, David Hand, William Cottrell",G,,,Plex
So I Married An Axe Murderer,Comedy,1993,Thomas Schlamme,PG-13,,,Plex
Song of the South,Family,1946,"Harve Foster, Wilfred Jackson",G,,,Plex
"Sound of Music, The",Family,1965,Robert Wise,G,,,Plex
Spider-Man,Action/Adventure,2002,Sam Raimi,PG-13,,,Plex
Spider-Man 2,Action/Adventure,2004,Sam Raimi,PG-13,,,Plex
Spider-Man: Into the Spider-Verse,Action/Adventure,2018,"Peter Ramsey, Bob Persichetti, Rodney Rothman",PG,,,Plex
Spies Like Us,Comedy,1985,John Landis,PG,,,Plex
Star Wars Episode I: The Phantom Menace,Action/Adventure,1999,George Lucas,PG,,,Plex
Star Wars Episode II: Attack of the Clones,Action/Adventure,2002,George Lucas,PG,,,Plex
Star Wars Episode III: Revenge of the Sith,Action/Adventure,2005,George Lucas,PG-13,,,Plex
Star Wars Episode IV: A New Hope,Action/Adventure,1977,George Lucas,PG,,,Plex
Star Wars Episode V: The Empire Strikes Back,Action/Adventure,1980, Irvin Kershner,PG,,,Plex
Star Wars Episode VI: Return of the Jedi,Action/Adventure,1983,Richard Marquand,PG,,,Plex
Stargate,Action/Adventure,1994,Roland Emmerich,PG-13,,,YouTube Movies
"Steamboat Bill, Jr.",Comedy,1928,Buster Keaton,G,,,Plex
Strange Invaders,Horror/Suspense,1983,Michael Laughlin,PG,,,Plex
Stranger than Fiction,Drama,2006,Marc Forster,PG-13,,,Plex
Superman II,Action/Adventure,1980,Richard Lester,PG,,,Plex
Superman III,Action/Adventure,1983,Richard Lester,PG,,,Plex
Superman IV: The Quest for Peace,Action/Adventure,1987,Sidney J. Furie,PG,,,Plex
Superman: The Movie,Action/Adventure,1978,Richard Donner,PG,,,Plex
Supersize Me,Comedy,2004,Morgan Spurlock,PG-13,,,Plex
Support Your Local Gunfighter,Family,1971,Burt Kennedy,G,,,Plex
Support Your Local Sheriff,Family,1969,Burt Kennedy,G,,,Plex
Sweeney Todd: The Demon Barber of Fleet Street,Horror/Suspense,2007,Tim Burton,R,Yes,,Plex
Sweet Home Alabama,Comedy,2002,Andy Tennant,PG-13,,,Plex
"Sword in the Stone, The",Family,1963,Wolfgang Reitherman,G,,,Plex
Team America: World Police,Comedy,2004,Trey Parker,R,Yes,,Plex
Teenage Mutant Ninja Turtles,Family,1990,Steve Barron,PG,,,Plex
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Family,1991,Michael Pressman,PG,,,Plex
Terminator 2: Judgment Day,Action/Adventure,1991,James Cameron,R,Yes,,Plex
The Fugitive,Action/Adventure,1993,Andrew Davis,PG-13,,,Plex
They Might Be Giants: Here Comes Science,Family,2009,"John Linnell, John Flansburgh",G,,,
They Might Be Giants: Here Comes the 123s,Family,2008,"John Linnell, John Flansburgh",G,,,Plex
They Might Be Giants: Here Comes the ABCs,Family,2005,"John Linnell, John Flansburgh",G,,,Plex
"Thing from Another World, The",Horror/Suspense,1951,"Christian Nyby, Howard Hawks",UR,,,Plex
Three Amigos,Comedy,1986,John Landis,PG,,,Plex
Tillie’s Punctured Romance,Comedy,1914,Mack Sennett,UR,,,Plex
Tommy Boy,Comedy,1995,Peter Segal,PG-13,,,Plex
Tormented,Horror/Suspense,1960,Bert I. Gordon,UR,,,Plex
Toy Story,Family,1995,John Lasseter,G,,,Plex
Toy Story 2,Family,1999,John Lasseter,G,,,Plex
Toy Story 3,Family,2010,Lee Unkrich,G,,,Plex
True Grit,Drama,2010,"Joel Coen, Ethan Coen",PG-13,,,Plex
"Truman Show, The",Drama,1998,Peter Weir,PG,,,Plex
UHF,Comedy,1989,Jay Levey,PG-13,,,Plex
Unbreakable,Horror/Suspense,2000,M. Night Shyamalan,PG-13,,,Plex
Unforgiven,Drama,1992,Clint Eastwood,R,Yes,,Plex
Untouchables,VHS,1987,Brian De Palma,R,Yes,,Plex
Vacancy,Horror/Suspense,2007,Nimród Antal,R,Yes,,Plex
"Vampire, The",Horror/Suspense,1957,Paul Landres,UR,,,Plex
"Village, The",Horror/Suspense,2004,M. Night Shyamalan,PG-13,,,Plex
Waiting For Guffman,Comedy,1996,Christopher Guest,R,Yes,,Plex
Waking Ned Devine,Comedy,1998,Kirk Jones,PG,,,Plex
"War of the Worlds, The",Horror/Suspense,1953,Byron Haskin,G,,,
Watchmen,Action/Adventure,2009,Zack Snyder,R,Yes,,Plex
Wayne's World,Comedy,1992,Penelope Spheeris,PG-13,,,Plex
We Bought a Zoo,Family,2011,Cameron Crowe,PG,,,Plex
"Wedding Planner, The",Comedy,2001,Adam Shankman,PG-13,,,Plex
Weekend at Bernie's,Comedy,1989,Ted Kotchef,PG-13,,,Plex
Werewolf of London,Horror/Suspense,1935,Stuart Armstrong Walker,UR,,,Plex
What a Girl Wants,Family,2003,Dennie Gordon,PG,,,Plex
What's the Matter With Helen?,Horror/Suspense,1971,Curtis Harrington,R?,,,Plex
Whoever Slew Auntie Roo?,Horror/Suspense,1972,Curtis Harrington,PG-13,,,Plex
Willy Wonka and the Chocolate Factory,Family,1971,Mel Stuart,G,,,Plex
Wings (Season 1 & 2),Television,1990-1991,"David Angell, Peter Casey, David Lee",TV-PG,,,Plex
Wings (Season 3),Television,1991-1992,"David Angell, Peter Casey, David Lee",TV-PG,,,Plex
Wings (Season 4),Television,1992-1993,"David Angell, Peter Casey, David Lee",TV-PG,,,Plex
Wings (Season 5),Television,1993-1994,"David Angell, Peter Casey, David Lee",TV-PG,,,Plex
Wings (Season 6),Television,1994-1995,"David Angell, Peter Casey, David Lee",TV-PG,,,Plex
Wings (Season 7),Television,1995-1996,"David Angell, Peter Casey, David Lee",TV-PG,,,Plex
Wings (Season 8),Television,1996-1997,"David Angell, Peter Casey, David Lee",TV-PG,,,Plex
"Wolf Man, The",Horror/Suspense,1941,George Waggner,UR,,,Plex
Wonder,Family,2017,Stephen Chbosky,PG,,,Plex
Wreck-It Ralph,Family,2012,Rich Moore,PG,,,YouTube Movies
X-Men,Action/Adventure,2000,Bryan Singer,PG-13,,,Plex
X-Men: The Last Stand,Action/Adventure,2006,Brett Ratner ,PG-13,,,Plex
X2,Action/Adventure,2003,Bryan Singer,PG-13,,,Plex
Young & Innocent,Horror/Suspense,1937,Alfred Hitchcock,UR,,,Plex
Young Guns,Action/Adventure,1988,Christopher Cain,R,Yes,,Plex
Zombieland,Horror/Suspense,2009,Ruben Fleischer,R,Yes,,Plex
Zootopia,Family,2016,"Byron Howard, Rich Moore",PG,,,Plex